theme,executor,category,theme_id,executor_id,category_id
Проблемы свободного проезда и прохода для транспорта и пешеходов,Управление благоустройства города,Дворовая территория,0,0,0
Повреждение или отсутствие дорожных знаков или дорожной разметки,Управление благоустройства города,Дороги,1,0,1
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Некачественное содержание остановок общественного транспорта,Управление благоустройства города,Остановки общественного транспорта,3,0,3
Повреждение или отсутствие дорожных знаков или дорожной разметки,Управление благоустройства города,Дороги,1,0,1
Некачественное содержание остановок общественного транспорта,Управление благоустройства города,Остановки общественного транспорта,3,0,3
Ненадлежащий уход за зелеными насаждениями,Управление благоустройства города,Дворовая территория,4,0,0
Неисправный светофор,Управление благоустройства города,Дороги,5,0,1
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Неисправный светофор,Управление благоустройства города,Дороги,5,0,1
Ямы и выбоины во дворах,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,6,1,0
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Некачественное содержание остановок общественного транспорта,Управление благоустройства города,Остановки общественного транспорта,3,0,3
Ямы и выбоины во дворах,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,6,1,0
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Проблемы свободного проезда и прохода для транспорта и пешеходов,Управление благоустройства города,Дворовая территория,0,0,0
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Создание и реорганизация бесплатных парковок,Управление благоустройства города,Парковки,8,0,4
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Ямы и выбоины во дворах,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,6,1,0
Протечка кровли (крыши),Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,10,1,5
Повреждение или отсутствие дорожных знаков или дорожной разметки,Управление благоустройства города,Дороги,1,0,1
Некачественный текущий ремонт,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,11,1,5
Неубранная контейнерная площадка,Префектура Московского района,Дворовая территория,12,2,0
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Неубранная контейнерная площадка,Префектура Советского района,Дворовая территория,12,3,0
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Повреждение или отсутствие ограждения автодорог,Управление благоустройства города,Дороги,15,0,1
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Прочие нарушения правил пользования жилыми помещениями,Госжилинспекция,Многоквартирные дома,16,6,5
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Неубранная территория (мусор/снег),Управление благоустройства города,Городская территория,17,0,2
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Нарушение правил благоустройства городов и поселков,Министерство ТЭК и ЖКХ Рязанской области,Дворовая территория,14,5,0
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожного покрытия,Министерство транспорта и автомобильных дорог Рязанской области,Дороги,9,4,1
Ненадлежащий уход за зелеными насаждениями,Управление благоустройства города,Дворовая территория,4,0,0
